comparison_key,scope,loto_type,run_count,ci_wins,permutation_wins,both_pass_count,both_pass_rate
settransformer_vs_deepsets,per_loto,loto6,5,0,1,0,0.0
settransformer_vs_deepsets,per_loto,loto7,5,0,0,0,0.0
settransformer_vs_deepsets,per_loto,miniloto,5,3,3,3,0.6
settransformer_vs_deepsets,overall,ALL,15,3,4,3,0.2
settransformer_vs_multihot,per_loto,loto6,5,1,2,1,0.2
settransformer_vs_multihot,per_loto,loto7,5,0,0,0,0.0
settransformer_vs_multihot,per_loto,miniloto,5,0,0,0,0.0
settransformer_vs_multihot,overall,ALL,15,1,2,1,0.0667
deepsets_vs_multihot,per_loto,loto6,5,1,1,1,0.2
deepsets_vs_multihot,per_loto,loto7,5,0,0,0,0.0
deepsets_vs_multihot,per_loto,miniloto,5,1,3,0,0.0
deepsets_vs_multihot,overall,ALL,15,2,4,1,0.0667
settransformer_vs_legacy,per_loto,loto6,5,0,1,0,0.0
settransformer_vs_legacy,per_loto,loto7,5,0,0,0,0.0
settransformer_vs_legacy,per_loto,miniloto,5,1,1,1,0.2
settransformer_vs_legacy,overall,ALL,15,1,2,1,0.0667
deepsets_vs_legacy,per_loto,loto6,5,0,0,0,0.0
deepsets_vs_legacy,per_loto,loto7,5,0,0,0,0.0
deepsets_vs_legacy,per_loto,miniloto,5,0,2,0,0.0
deepsets_vs_legacy,overall,ALL,15,0,2,0,0.0
multihot_vs_legacy,per_loto,loto6,5,0,1,0,0.0
multihot_vs_legacy,per_loto,loto7,5,1,1,1,0.2
multihot_vs_legacy,per_loto,miniloto,5,1,1,1,0.2
multihot_vs_legacy,overall,ALL,15,2,3,2,0.1333
deepsets_vs_best_static,per_loto,loto6,5,0,0,0,0.0
deepsets_vs_best_static,per_loto,loto7,5,0,0,0,0.0
deepsets_vs_best_static,per_loto,miniloto,5,0,3,0,0.0
deepsets_vs_best_static,overall,ALL,15,0,3,0,0.0
legacy_vs_best_static,per_loto,loto6,5,0,0,0,0.0
legacy_vs_best_static,per_loto,loto7,5,0,1,0,0.0
legacy_vs_best_static,per_loto,miniloto,5,0,2,0,0.0
legacy_vs_best_static,overall,ALL,15,0,3,0,0.0
multihot_vs_best_static,per_loto,loto6,5,0,1,0,0.0
multihot_vs_best_static,per_loto,loto7,5,0,0,0,0.0
multihot_vs_best_static,per_loto,miniloto,5,0,2,0,0.0
multihot_vs_best_static,overall,ALL,15,0,3,0,0.0
settransformer_vs_best_static,per_loto,loto6,5,0,1,0,0.0
settransformer_vs_best_static,per_loto,loto7,5,0,1,0,0.0
settransformer_vs_best_static,per_loto,miniloto,5,0,0,0,0.0
settransformer_vs_best_static,overall,ALL,15,0,2,0,0.0
