draw_id,date,num1,num2,num3,num4,num5,num6,sum_val,odd_count,even_count,sum_moving_avg_5
1,2000/10/5,2,8,10,13,27,30,90,2,4,90.0
2,2000/10/12,1,9,16,20,21,43,110,4,2,110.0
3,2000/10/19,1,5,15,31,36,38,126,4,2,126.0
4,2000/10/26,16,18,26,27,34,40,161,1,5,161.0
5,2000/11/2,9,15,21,23,27,28,123,5,1,122.0
6,2000/11/9,6,12,23,25,28,38,132,2,4,130.4
7,2000/11/16,7,19,21,23,33,35,138,6,0,136.0
8,2000/11/23,11,16,18,20,42,43,150,2,4,140.8
9,2000/11/30,11,19,23,38,39,42,172,4,2,143.0
10,2000/12/7,1,3,19,21,35,39,118,6,0,142.0
11,2000/12/14,12,26,32,37,40,42,189,1,5,153.4
12,2000/12/21,14,17,27,28,35,39,160,4,2,157.8
13,2000/12/28,13,29,31,37,41,42,193,5,1,166.4
14,2001/1/4,2,8,11,35,37,38,131,3,3,158.2
15,2001/1/11,4,6,11,20,21,28,90,2,4,152.6
16,2001/1/18,5,12,13,29,34,35,128,4,2,140.4
17,2001/1/25,14,20,25,34,35,36,164,2,4,141.2
18,2001/2/1,6,16,18,27,36,41,144,2,4,131.4
19,2001/2/8,4,8,12,30,33,43,130,2,4,131.2
20,2001/2/15,7,29,33,35,37,39,180,6,0,149.2
21,2001/2/22,5,7,13,19,38,41,123,5,1,148.2
22,2001/3/1,8,12,16,19,20,35,110,2,4,137.4
23,2001/3/8,7,10,28,32,33,40,150,2,4,138.6
24,2001/3/15,15,18,19,30,36,38,156,2,4,143.8
25,2001/3/22,11,32,34,37,40,43,197,3,3,147.2
26,2001/3/29,3,4,11,12,13,43,86,4,2,139.8
27,2001/4/5,4,8,20,30,33,38,133,1,5,144.4
28,2001/4/12,6,11,15,20,31,41,124,4,2,139.2
29,2001/4/19,8,12,20,35,37,40,152,2,4,138.4
30,2001/4/26,4,16,17,19,26,37,119,3,3,122.8
31,2001/5/3,7,18,22,25,28,43,143,3,3,134.2
32,2001/5/10,3,6,7,23,29,41,109,5,1,129.4
