draw_id,date,num1,num2,num3,num4,num5,num6,num7,sum_val,odd_count,even_count,sum_moving_avg_5
1,2013/04/05,7,10,12,17,23,28,34,131,3,4,131.0
2,2013/4/12,20,24,29,31,33,34,35,206,4,3,206.0
3,2013/4/19,2,7,8,11,14,23,31,96,4,3,96.0
4,2013/4/26,12,13,22,23,24,28,29,151,3,4,151.0
5,2013/5/3,1,3,4,5,16,21,28,78,4,3,132.4
6,2013/5/10,5,15,19,23,30,34,35,161,5,2,138.4
7,2013/5/17,1,3,5,7,27,29,33,105,7,0,118.2
8,2013/5/24,2,21,28,29,30,32,36,178,2,5,134.6
9,2013/5/31,3,4,15,23,27,30,36,138,4,3,132.0
10,2013/6/7,1,2,3,6,24,28,30,94,2,5,135.2
11,2013/6/14,9,15,26,29,32,34,36,181,3,4,139.2
12,2013/6/21,11,12,14,19,26,27,33,142,4,3,146.6
13,2013/6/28,6,10,16,21,27,28,35,143,3,4,139.6
14,2013/7/5,4,7,8,9,24,28,30,110,2,5,134.0
15,2013/7/12,2,10,14,17,23,25,35,126,4,3,140.4
16,2013/7/19,5,6,9,13,16,21,23,93,5,2,122.8
17,2013/7/26,2,3,5,22,34,36,37,139,3,4,122.2
18,2013/8/2,12,17,21,24,29,31,36,170,4,3,127.6
19,2013/8/9,2,14,19,20,21,22,31,129,3,4,131.4
20,2013/8/16,2,5,13,20,21,23,28,112,4,3,128.6
21,2013/8/23,1,9,13,15,25,30,33,126,6,1,135.2
22,2013/8/30,2,4,8,9,15,23,25,86,4,3,124.6
23,2013/9/6,4,8,11,25,28,29,30,135,3,4,117.6
24,2013/9/13,4,5,8,10,16,19,33,95,3,4,110.8
25,2013/9/20,1,6,11,16,17,18,21,90,4,3,106.4
26,2013/9/27,11,13,16,18,26,31,36,151,3,4,111.4
27,2013/10/4,1,10,11,14,17,18,28,99,3,4,114.0
28,2013/10/11,6,7,12,15,19,35,37,131,5,2,113.2
29,2013/10/18,2,3,16,17,24,26,28,116,2,5,117.4
30,2013/10/25,6,8,13,22,26,32,36,143,1,6,128.0
31,2013/11/1,9,12,13,19,23,33,34,143,5,2,126.4
32,2013/11/8,3,8,15,18,27,29,37,137,5,2,134.0
33,2013/11/15,1,4,17,24,29,33,36,144,4,3,136.6
34,2013/11/22,4,6,7,23,24,32,35,131,3,4,139.6
35,2013/11/29,1,16,18,19,25,30,34,143,3,4,139.6
36,2013/12/6,5,6,10,11,20,28,36,116,2,5,134.2
37,2013/12/13,7,8,10,13,14,19,37,108,4,3,128.4
38,2013/12/20,4,14,19,22,24,29,34,146,2,5,128.8
39,2013/12/27,7,13,19,23,25,26,30,143,5,2,131.2
40,2014/1/10,2,6,11,23,26,31,34,133,3,4,129.2
41,2014/1/17,2,3,8,15,34,35,36,133,3,4,132.6
42,2014/1/24,2,15,16,17,23,31,33,137,5,2,138.4
43,2014/1/31,4,6,7,8,24,31,37,117,3,4,132.6
44,2014/2/7,3,4,6,15,27,28,29,112,4,3,126.4
45,2014/2/14,1,2,9,18,21,27,33,111,5,2,122.0
46,2014/2/21,2,5,6,15,23,27,30,108,4,3,117.0
47,2014/2/28,2,9,11,14,20,21,36,113,3,4,112.2
48,2014/3/7,3,5,24,26,29,30,34,151,3,4,119.0
49,2014/3/14,8,11,12,17,24,26,27,125,3,4,121.6
50,2014/3/21,3,4,7,8,15,24,29,90,4,3,117.4
51,2014/3/28,1,4,5,8,20,23,35,96,4,3,115.0
52,2014/4/4,8,10,22,24,26,32,34,156,0,7,123.6
53,2014/4/11,1,4,14,16,20,33,36,124,2,5,118.2
54,2014/4/18,1,3,5,10,18,22,23,82,4,3,109.6
55,2014/4/25,4,12,14,17,23,30,36,136,2,5,118.8
56,2014/5/2,4,23,26,27,28,32,36,176,2,5,134.8
57,2014/5/9,5,6,12,16,17,20,33,109,3,4,125.4
58,2014/5/16,1,6,7,8,23,32,33,110,4,3,122.6
59,2014/5/23,5,8,12,13,21,30,35,124,4,3,131.0
60,2014/5/30,3,7,9,15,16,23,34,107,5,2,125.2
61,2014/6/6,5,10,11,21,28,31,37,143,5,2,118.6
62,2014/6/13,4,10,12,15,27,32,33,133,3,4,123.4
63,2014/6/20,4,8,19,24,28,30,32,145,1,6,130.4
64,2014/6/27,4,15,16,17,20,29,36,137,3,4,133.0
65,2014/7/4,4,7,12,22,23,24,28,120,2,5,135.6
66,2014/7/11,1,11,25,28,31,33,37,166,6,1,140.2
67,2014/7/18,7,11,15,17,18,25,35,128,6,1,139.2
68,2014/7/25,2,7,13,15,24,34,35,130,4,3,136.2
69,2014/8/1,13,17,20,22,28,29,37,166,4,3,142.0
70,2014/8/8,9,10,18,21,27,33,35,153,5,2,148.6
71,2014/8/15,1,6,13,29,34,35,37,155,5,2,146.4
72,2014/8/22,11,12,18,19,20,31,32,143,3,4,149.4
73,2014/8/29,12,16,23,25,27,30,32,165,3,4,156.4
74,2014/9/5,5,13,14,15,16,24,31,118,4,3,146.8
75,2014/9/12,4,9,15,17,19,35,37,136,6,1,143.4
