draw_id,date,num1,num2,num3,num4,num5,num6,num7
1,2013/04/05,7,10,12,17,23,28,34
2,2013/4/12,20,24,29,31,33,34,35
3,2013/4/19,2,7,8,11,14,23,31
4,2013/4/26,12,13,22,23,24,28,29
5,2013/5/3,1,3,4,5,16,21,28
6,2013/5/10,5,15,19,23,30,34,35
7,2013/5/17,1,3,5,7,27,29,33
8,2013/5/24,2,21,28,29,30,32,36
9,2013/5/31,3,4,15,23,27,30,36
10,2013/6/7,1,2,3,6,24,28,30
11,2013/6/14,9,15,26,29,32,34,36
12,2013/6/21,11,12,14,19,26,27,33
13,2013/6/28,6,10,16,21,27,28,35
14,2013/7/5,4,7,8,9,24,28,30
15,2013/7/12,2,10,14,17,23,25,35
16,2013/7/19,5,6,9,13,16,21,23
17,2013/7/26,2,3,5,22,34,36,37
18,2013/8/2,12,17,21,24,29,31,36
19,2013/8/9,2,14,19,20,21,22,31
20,2013/8/16,2,5,13,20,21,23,28
21,2013/8/23,1,9,13,15,25,30,33
22,2013/8/30,2,4,8,9,15,23,25
23,2013/9/6,4,8,11,25,28,29,30
24,2013/9/13,4,5,8,10,16,19,33
25,2013/9/20,1,6,11,16,17,18,21
26,2013/9/27,11,13,16,18,26,31,36
27,2013/10/4,1,10,11,14,17,18,28
28,2013/10/11,6,7,12,15,19,35,37
29,2013/10/18,2,3,16,17,24,26,28
30,2013/10/25,6,8,13,22,26,32,36
31,2013/11/1,9,12,13,19,23,33,34
32,2013/11/8,3,8,15,18,27,29,37
33,2013/11/15,1,4,17,24,29,33,36
34,2013/11/22,4,6,7,23,24,32,35
35,2013/11/29,1,16,18,19,25,30,34
36,2013/12/6,5,6,10,11,20,28,36
37,2013/12/13,7,8,10,13,14,19,37
38,2013/12/20,4,14,19,22,24,29,34
39,2013/12/27,7,13,19,23,25,26,30
40,2014/1/10,2,6,11,23,26,31,34
41,2014/1/17,2,3,8,15,34,35,36
42,2014/1/24,2,15,16,17,23,31,33
43,2014/1/31,4,6,7,8,24,31,37
44,2014/2/7,3,4,6,15,27,28,29
45,2014/2/14,1,2,9,18,21,27,33
46,2014/2/21,2,5,6,15,23,27,30
47,2014/2/28,2,9,11,14,20,21,36
48,2014/3/7,3,5,24,26,29,30,34
49,2014/3/14,8,11,12,17,24,26,27
50,2014/3/21,3,4,7,8,15,24,29
51,2014/3/28,1,4,5,8,20,23,35
52,2014/4/4,8,10,22,24,26,32,34
53,2014/4/11,1,4,14,16,20,33,36
54,2014/4/18,1,3,5,10,18,22,23
55,2014/4/25,4,12,14,17,23,30,36
56,2014/5/2,4,23,26,27,28,32,36
57,2014/5/9,5,6,12,16,17,20,33
58,2014/5/16,1,6,7,8,23,32,33
59,2014/5/23,5,8,12,13,21,30,35
60,2014/5/30,3,7,9,15,16,23,34
61,2014/6/6,5,10,11,21,28,31,37
62,2014/6/13,4,10,12,15,27,32,33
63,2014/6/20,4,8,19,24,28,30,32
64,2014/6/27,4,15,16,17,20,29,36
65,2014/7/4,4,7,12,22,23,24,28
66,2014/7/11,1,11,25,28,31,33,37
67,2014/7/18,7,11,15,17,18,25,35
68,2014/7/25,2,7,13,15,24,34,35
69,2014/8/1,13,17,20,22,28,29,37
70,2014/8/8,9,10,18,21,27,33,35
71,2014/8/15,1,6,13,29,34,35,37
72,2014/8/22,11,12,18,19,20,31,32
73,2014/8/29,12,16,23,25,27,30,32
74,2014/9/5,5,13,14,15,16,24,31
75,2014/9/12,4,9,15,17,19,35,37
76,2014/9/19,4,13,18,29,32,34,36
77,2014/9/26,3,10,23,25,26,28,30
78,2014/10/3,5,6,10,14,24,28,36
79,2014/10/10,2,4,7,9,21,29,37
80,2014/10/17,2,5,10,18,21,24,27
81,2014/10/24,1,3,10,18,28,31,35
82,2014/10/31,1,3,16,20,25,27,34
83,2014/11/7,1,11,21,26,28,32,35
84,2014/11/14,8,16,23,28,29,35,36
85,2014/11/21,6,7,10,11,22,26,35
86,2014/11/28,3,10,20,21,22,26,30
87,2014/12/5,8,9,12,18,20,28,31
88,2014/12/12,3,4,10,14,25,29,30
89,2014/12/19,1,3,11,26,28,34,36
90,2014/12/26,2,8,9,13,14,18,37
91,2015/1/9,1,5,7,14,15,25,35
92,2015/1/16,4,5,15,25,26,29,32
93,2015/1/23,2,5,11,14,17,30,32
94,2015/1/30,13,19,20,27,28,29,30
95,2015/2/6,1,8,13,14,18,30,34
96,2015/2/13,9,11,14,21,22,23,24
97,2015/2/20,7,13,14,16,22,24,35
98,2015/2/27,3,9,11,13,19,25,33
99,2015/3/6,13,17,22,24,27,28,35
100,2015/3/13,1,2,11,16,25,35,36
101,2015/3/20,11,12,21,23,28,36,37
102,2015/3/27,1,4,8,27,28,29,31
103,2015/4/3,2,3,11,12,22,35,36
104,2015/4/10,7,9,11,15,16,22,37
105,2015/4/17,3,15,19,20,26,28,33
106,2015/4/24,6,10,12,19,21,22,30
107,2015/5/1,3,8,9,13,17,27,33
108,2015/5/8,2,6,7,8,28,30,36
109,2015/5/15,6,17,20,21,24,30,32
110,2015/5/22,4,12,22,30,31,35,36
111,2015/5/29,7,8,9,24,28,30,33
112,2015/6/5,6,7,10,15,27,35,36
113,2015/6/12,4,6,7,9,15,17,37
114,2015/6/19,8,13,26,27,28,29,37
115,2015/6/26,6,8,13,14,20,25,27
116,2015/7/3,9,14,23,27,28,31,32
117,2015/7/10,9,10,20,28,31,34,37
118,2015/7/17,5,8,9,24,27,28,30
119,2015/7/24,3,6,8,14,15,25,36
120,2015/7/31,2,16,18,26,32,35,37
121,2015/8/7,2,4,13,16,21,30,37
122,2015/8/14,2,16,18,26,27,34,35
123,2015/8/21,1,3,5,8,29,34,36
124,2015/8/28,1,2,15,17,18,22,36
125,2015/9/4,1,6,11,14,19,28,35
126,2015/9/11,4,10,13,16,17,21,27
127,2015/9/18,10,12,15,23,28,30,35
128,2015/9/25,2,4,8,23,26,27,32
129,2015/10/2,5,7,11,19,24,27,30
130,2015/10/9,1,15,20,23,25,31,32
131,2015/10/16,3,4,12,17,32,34,36
132,2015/10/23,7,10,14,16,20,30,31
133,2015/10/30,3,7,13,15,17,21,30
134,2015/11/6,4,9,20,28,30,34,35
135,2015/11/13,8,9,13,14,24,32,34
136,2015/11/20,10,17,24,27,30,33,37
137,2015/11/27,13,19,21,25,27,32,35
138,2015/12/4,2,5,17,20,21,32,33
139,2015/12/11,9,16,18,21,23,34,35
140,2015/12/18,3,11,12,13,17,26,35
141,2015/12/25,2,10,18,30,31,32,36
142,2016/1/8,6,12,14,18,21,27,28
143,2016/1/15,1,3,8,14,28,29,33
144,2016/1/22,2,9,13,18,22,32,36
145,2016/1/29,10,12,18,28,29,30,35
146,2016/2/5,4,10,25,27,28,33,34
147,2016/2/12,1,5,7,12,15,24,25
148,2016/2/19,1,9,11,16,20,30,34
149,2016/2/26,1,4,15,19,22,23,31
150,2016/3/4,6,7,14,20,27,31,34
151,2016/3/11,9,10,13,15,21,22,24
152,2016/3/18,8,12,17,21,23,24,31
153,2016/3/25,7,9,10,16,20,28,37
154,2016/4/1,2,4,19,21,24,28,35
155,2016/4/8,2,9,13,18,22,24,26
156,2016/4/15,4,9,16,19,22,33,34
157,2016/4/22,5,9,16,26,28,29,32
158,2016/4/29,3,6,7,30,32,36,37
159,2016/5/6,10,14,17,21,23,27,31
160,2016/5/13,1,2,8,24,32,36,37
161,2016/5/20,8,14,17,18,20,22,34
162,2016/5/27,2,7,8,12,14,23,27
163,2016/6/3,1,2,6,16,28,30,31
164,2016/6/10,3,13,20,23,31,35,36
165,2016/6/17,9,11,14,15,16,18,27
166,2016/6/24,14,20,27,29,30,31,37
167,2016/7/1,1,3,5,7,10,26,36
168,2016/7/8,3,9,12,14,19,20,36
169,2016/7/15,1,5,10,20,21,28,30
170,2016/7/22,3,5,6,9,27,32,36
171,2016/7/29,1,2,6,21,23,27,28
172,2016/8/5,5,20,21,27,30,31,36
173,2016/8/12,7,9,19,22,24,27,30
174,2016/8/19,10,13,14,15,23,31,32
175,2016/8/26,6,17,21,31,33,35,37
176,2016/9/2,1,11,12,17,22,30,35
177,2016/9/9,9,15,19,23,25,34,36
178,2016/9/16,6,9,11,15,26,34,36
179,2016/9/23,4,9,12,13,22,26,36
180,2016/9/30,1,8,11,21,23,25,28
181,2016/10/7,7,8,10,13,19,23,24
182,2016/10/14,1,7,10,11,20,23,30
183,2016/10/21,6,15,20,26,33,34,37
184,2016/10/28,7,14,18,22,23,26,34
185,2016/11/4,1,2,4,16,26,29,34
186,2016/11/11,5,14,16,19,31,33,37
187,2016/11/18,4,6,10,23,24,32,36
188,2016/11/25,6,15,19,25,26,30,31
189,2016/12/2,3,7,8,10,18,23,35
190,2016/12/9,2,11,12,18,21,33,36
191,2016/12/16,8,15,21,24,26,27,29
192,2016/12/23,12,13,14,19,25,33,34
193,2016/12/30,4,6,20,21,22,24,31
194,2017/1/6,3,6,27,30,31,32,36
195,2017/1/13,4,7,12,20,23,24,31
196,2017/1/20,7,13,15,25,30,32,37
197,2017/1/27,6,8,10,12,16,21,28
198,2017/2/3,18,21,31,32,33,36,37
199,2017/2/10,1,9,17,20,22,28,29
200,2017/2/17,13,14,17,21,27,28,34
201,2017/2/24,8,11,17,24,28,31,32
202,2017/3/3,3,7,11,16,22,34,37
203,2017/3/10,6,13,17,22,32,33,36
204,2017/3/17,5,19,20,21,30,34,36
205,2017/3/24,4,5,19,31,35,36,37
206,2017/3/31,1,6,7,11,27,35,36
207,2017/4/7,4,5,10,13,28,32,33
208,2017/4/14,4,13,16,18,22,26,33
209,2017/4/21,3,4,6,13,22,31,36
210,2017/4/28,2,4,6,11,15,19,36
211,2017/5/5,7,15,22,25,31,32,35
212,2017/5/12,4,6,10,19,20,24,29
213,2017/5/19,5,13,15,18,19,24,35
214,2017/5/26,2,6,9,12,31,36,37
215,2017/6/2,11,12,13,21,29,36,37
216,2017/6/9,9,14,22,24,25,36,37
217,2017/6/16,4,6,26,27,28,35,36
218,2017/6/23,15,16,17,21,26,29,30
219,2017/6/30,6,9,13,14,21,25,31
220,2017/7/7,7,9,11,18,25,28,35
221,2017/7/14,1,2,9,11,17,30,35
222,2017/7/21,3,9,18,21,23,27,29
223,2017/7/28,10,13,19,21,26,33,34
224,2017/8/4,2,4,7,10,12,29,34
225,2017/8/11,13,15,17,18,20,21,26
226,2017/8/18,12,17,21,24,26,30,32
227,2017/8/25,2,3,7,9,22,23,26
228,2017/9/1,6,11,14,21,24,28,31
229,2017/9/8,2,3,9,30,33,36,37
230,2017/9/15,3,5,8,15,22,25,27
231,2017/9/22,4,15,18,24,25,34,36
232,2017/9/29,2,4,7,9,15,35,37
233,2017/10/6,3,13,17,25,26,27,29
234,2017/10/13,7,14,15,16,23,25,30
235,2017/10/20,2,9,13,18,21,33,34
236,2017/10/27,19,22,23,34,35,36,37
237,2017/11/3,3,4,7,19,20,21,29
238,2017/11/10,3,21,26,33,34,35,37
239,2017/11/17,8,13,17,21,23,28,37
240,2017/11/24,9,12,14,24,29,31,35
241,2017/12/1,5,11,12,19,21,26,28
242,2017/12/8,1,5,13,17,31,32,35
243,2017/12/15,6,9,13,18,20,22,30
244,2017/12/22,2,9,17,22,32,34,36
245,2017/12/29,2,8,9,11,24,26,27
246,2018/1/5,3,6,9,19,23,25,31
247,2018/1/12,10,12,13,16,34,35,36
248,2018/1/19,1,5,6,22,25,27,31
249,2018/1/26,9,20,28,29,31,34,37
250,2018/2/2,5,9,10,13,26,30,34
251,2018/2/9,1,15,20,26,28,34,37
252,2018/2/16,8,23,24,25,27,30,31
253,2018/2/23,6,7,9,12,15,17,24
254,2018/3/2,1,12,14,18,23,24,31
255,2018/3/9,1,4,11,13,15,21,32
256,2018/3/16,14,21,24,27,30,33,37
257,2018/3/23,5,15,16,26,27,32,35
258,2018/03/30,1,3,11,20,23,32,35
259,2018/4/6,5,6,15,19,22,29,32
260,2018/4/13,4,8,12,23,29,31,34
261,2018/4/20,4,14,15,17,21,23,26
262,2018/4/27,2,6,7,9,19,23,36
263,2018/5/4,1,5,11,16,27,35,36
264,2018/5/11,8,13,15,17,21,26,29
265,2018/5/18,12,13,15,19,21,24,36
266,2018/5/25,6,11,15,17,20,27,32
267,2018/6/1,8,13,18,20,23,25,26
268,2018/6/8,4,5,9,15,29,31,33
269,2018/6/15,1,9,15,24,31,33,36
270,2018/6/22,1,2,11,13,15,24,25
271,2018/6/29,1,9,15,16,19,32,35
272,2018/7/6,2,5,8,15,18,26,31
273,2018/7/13,13,15,21,23,26,32,34
274,2018/7/20,9,14,21,23,25,26,37
275,2018/7/27,8,9,15,19,24,25,35
276,2018/8/3,3,6,12,17,22,34,35
277,2018/8/10,6,7,9,11,21,23,25
278,2018/8/17,6,9,14,21,23,33,36
279,2018/8/24,7,11,15,17,19,23,31
280,2018/8/31,4,9,10,11,24,32,35
281,2018/9/7,1,2,17,19,20,22,26
282,2018/9/14,10,17,18,25,29,35,36
283,2018/9/21,13,14,15,17,23,29,31
284,2018/9/28,6,7,10,25,29,30,33
285,2018/10/5,11,15,21,26,30,34,35
286,2018/10/12,4,5,14,17,18,29,37
287,2018/10/19,2,7,10,20,24,29,34
288,2018/10/26,1,8,9,16,27,32,37
289,2018/11/2,2,7,10,12,16,17,34
